
Time		X Distance	Y Distance
0.00		0.00		23.000 

0.05		1.15		24.125 

0.10		2.30		25.202 

0.15		3.45		26.229 

0.20		4.60		27.208 

0.25		5.75		28.137 

0.30		6.90		29.017 

0.35		8.05		29.848 

0.40		9.20		30.630 

0.45		10.35		31.363 

0.50		11.50		32.048 

0.55		12.65		32.682 

0.60		13.80		33.268 

0.65		14.95		33.805 

0.70		16.10		34.293 

0.75		17.25		34.732 

0.80		18.40		35.122 

0.85		19.55		35.462 

0.90		20.70		35.754 

0.95		21.85		35.996 

1.00		23.00		36.190 

1.05		24.15		36.334 

1.10		25.30		36.430 

1.15		26.45		36.476 

1.20		27.60		36.474 

1.25		28.75		36.422 

1.30		29.90		36.321 

1.35		31.05		36.171 

1.40		32.20		35.972 

1.45		33.35		35.724 

1.50		34.50		35.428 

1.55		35.65		35.081 

1.60		36.80		34.686 

1.65		37.95		34.242 

1.70		39.10		33.749 

1.75		40.25		33.207 

1.80		41.40		32.616 

1.85		42.55		31.975 

1.90		43.70		31.286 

1.95		44.85		30.547 

2.00		46.00		29.760 

2.05		47.15		28.923 

2.10		48.30		28.038 

2.15		49.45		27.103 

2.20		50.60		26.120 

2.25		51.75		25.087 

2.30		52.90		24.005 

2.35		54.05		22.874 

2.40		55.20		21.694 

2.45		56.35		20.466 

2.50		57.50		19.188 

2.55		58.65		17.861 

2.60		59.80		16.484 

2.65		60.95		15.059 

2.70		62.10		13.585 

2.75		63.25		12.062 

2.80		64.40		10.490 

2.85		65.55		8.868 

2.90		66.70		7.198 

2.95		67.85		5.479 

3.00		69.00		3.710 

3.05		70.15		1.893 

3.10		71.30		0.026 

